c***p ( 205) ,5,Great doing business with!!!!!!!!,2013-10-17,
l***a ( 780) ,5,"GREAT COMMUNICATION... FAST SHIPPING GODD ALL AROUND, NICE RING",2013-10-16,
p***i ( 347) ,5,"Gorgeous ring! Great customer service, will buy again! Thanks",2013-10-16,
c***e ( 27) ,5,Seller very serious and responsible my money was refund very fast thanks,2013-10-16,
n***n ( 22) ,5,ABSOLUTELY GREAT !!!!!!! VERY VERY VERY HAPPY ! Thank you for the extra earings,2013-10-08,
c***e ( 18) ,5,Gorgeous! So much better than I expected.,2013-10-08,
u***u ( 85) ,5,"super fast shipping, seller was very on top of things!",2013-10-07,
n***3 ( 299) ,5,very good to do business with,2013-10-06,
c***b ( 87) ,5,Fast shipping A+ service will do business with again,2013-10-02,
s***s ( 24) ,5,Great ebayer. I would do business with again. Thx!,2013-10-02,
9***l ( 402) ,5,Absolutely love my ring & earrings! Fast & easy transaction! Best Seller!,2013-10-01,
e***l ( 91) ,5,Great seller!!,2013-10-01,
i***6 ( 312) ,5,Thank you!!! Super serviceAAAAA++++,2013-10-01,
m***2 ( 9 ) ,5,Great,2013-10-01,
t***t ( 20) ,5,Shipping time was fast and on time as promised. The ring is even more beautiful ,2013-10-01,
w***m ( 392) ,5,Thank You!,2013-09-30,
s***r ( 20) ,5,Beautiful ring wonderful business,2013-09-29,
r***y ( 35) ,5,Received item in good condition in timely manner.,2013-09-27,
o***i ( 3 ) ,5,Good customer service and support ,2013-09-26,
e***6 ( 82) ,5,LOVE IT!!! And thank you so much for the earrings too - I'm impressed & pleased,2013-09-25,
e***e ( 189) ,5,A++++++++++++++++++++++++++++++++,2013-09-24,
e***o ( 274) ,5,awesome ring fast shipment A+++++++++++++++++,2013-09-24,
k***i ( 375) ,5,I loved it..she loved it. Great communication ,2013-09-23,
w***g ( 1723) ,5,Prompt Refund given....thanks. Decided to get her real diamond ring,2013-09-22,
s***1 ( 238) ,5,stunning ring plus free stud earings awesome,2013-09-22,
b***a ( 10) ,5,I really recommend this store my ring I got it on time an is soooo bootifull,2013-09-22,
s***b ( 3 ) ,5,Absolutely stunning and brilliant ring! 100% satisfied customers!!! A+ Thank you,2013-09-21,
m***s ( 14) ,5,"Great seller!! Loved the gift surprise, definitely buying from them again!!!!!",2013-09-18,
a***k ( 44) ,5,Beautiful. ,2013-09-18,
c***e ( 2184) ,5,Excellent seller! Fabulous to work with. Beautiful ring. ,2013-09-17,
h***a ( 27) ,5,Fast shipping...Beautiful item..,2013-09-14,
h***h ( 59) ,5,Item as described,2013-09-13,
n***e ( 561) ,5,"Returned item, however seller Great.",2013-09-12,
e***0 ( 8 ) ,5,Beautiful ring. The center stone is big! A little too big but BEAUTIFUL. ,2013-09-11,
e***t ( 373) ,5,ABSOLUTELY LOVE THE RING WE PURCHASED! Agape deserves 10 stars! ,2013-09-06,
s***w ( 65) ,5,This is a gift hope she likes as much as I do Just what I had expected.,2013-09-05,
e***4 ( 97) ,5,wow it's perfect,2013-08-31,
c***d ( 356) ,5,VERY HAPPY WOULD BUY AGAIN AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,2013-08-29,
a***e ( 19) ,5,If you're buying jewelry GO TO AGAPE!! Great communication/great transaction!,2013-08-28,
k***s ( 1258) ,5,Outstanding service love the ring AAAAA+++++ Thanks,2013-08-26,
e***1 ( 237) ,5,A++++++,2013-08-26,
_***b ( 122) ,5,Great communication,2013-08-22,
1***1 ( 376) ,5,Thanks for the ring. AMAZING!!!,2013-08-21,
n***n ( 3 ) ,5,My ring is absolutely spectacular! Thank you so much!,2013-08-20,
1***3 ( 301) ,5,The best jewelry is right here! A++++++ seller! Super happy....Thank you! !!!!,2013-08-20,
u***o ( 412) ,5,Thanks,2013-08-18,
8***8 ( 94) ,5,"Unbelievable product, wish I could leave 6 stars!!!!! ",2013-08-17,
c***d ( 145) ,5,amazing!!! highly recommended! excelent product and service!,2013-08-16,
c***l ( 157) ,5,"Awesome service and exceptional products, thanks for all *****",2013-08-16,
h***g ( 179) ,5,"Instant Payment, Perfect buyer, Seller could not have asked for better A+++++++",2013-08-13,
t***e ( 114) ,5,Eventhough i return the item the communication was very smooth,2013-08-13,
a***s ( 124) ,5,Beautiful ring and great company! Thank you!,2013-08-11,
e***7 ( 48) ,5,"very beautiful, nice earings, fast delivery...... very happy",2013-08-09,
6***6 ( 80) ,5,Super fast shipping and excellent price! Absolutely stunning<3 ,2013-08-09,
c***t ( 224) ,5,Perfect fit packed awesome awesome ring and free gift !,2013-08-08,
a***x ( 1 ) ,5,Absolutely the most perfect ring ever thank u so much Wonderful fast service,2013-08-08,
i***n ( 196) ,5,most amazing piece of jewelry i own. so beautiful. thank you.,2013-08-08,
t***r ( 417) ,5,Item exactly as described. Excellent eBay seller!,2013-08-07,
j***8 ( 19) ,5,"beautiful, more than expected",2013-08-07,
1***1 ( 10) ,5,Product as described - wife loves the rings,2013-08-07,
b***a ( 193) ,5,Great Seller A+++ fast shpping and GREAT customer service!!,2013-08-05,
7***7 ( 162) ,5,I put this ring with a real diamond wedding band and they look dazzling!,2013-08-04,
4***4 ( 344) ,5,Great thank you,2013-08-03,
s***r ( 497) ,5,great great rings best delivery service cant wait to order my next set of rings,2013-08-03,
3***7 ( 245) ,5,Very good SHE loves it!!!!,2013-08-02,
t***- ( 21536) ,5,Fantastic product. Very pleased. Saved a fortune. Thanks,2013-08-02,
b***l ( 308) ,5,"These rings are awesome, great communication....Thank you!!!",2013-08-02,
p***l ( 3 ) ,5,Quick turnaround!,2013-07-30,
2***2 ( 482) ,5,"Beautiful ring! Thank you! Seller is wonderful, highly recommend!",2013-07-29,
v***t ( 51) ,5,Great seller! Great item!!! Works perfect Xtra fast shipping!!! A++++,2013-07-25,
d***o ( 451) ,5,beatiful and as described!... received an extra gift!,2013-07-25,
h***u ( 17) ,5,"Everything was delivered as promised, excellent packing.",2013-07-24,
e***e ( 965) ,5,6 STAR SELLER!!! Thanks So Much Richard :) Hope to buy from them AGAIN!!!,2013-07-23,
s***0 ( 18) ,5,the purse is cute but smells like vinager!(not good) my fault for not asking!!,2013-07-22,
r***s ( 47) ,5,Good fast shipping,2013-07-22,
r***1 ( 297) ,5,A+++ seller!,2013-07-21,
d***r ( 99) ,5,Just as described...Beautiful,2013-07-21,
n***m ( 360) ,5,"A+++++++++++++++++++++Better than expected, great customer service",2013-07-19,
b***m ( 3 ) ,5,great product!! the wife is very happy!,2013-07-19,
g***r ( 389) ,5,Thank you! Great quality.. Fast shipping! .I love it!l,2013-07-18,
l***h ( 129) ,5,Stunning ring! Earrings were a nice bonus as well. ,2013-07-18,
k***k ( 82) ,5,Extremely pleasantly surprised. Would definitely recommend.,2013-07-18,
v***e ( 1 ) ,5,The ring is SSSOOOOOO stunning I don't even want to take it off!!!!!,2013-07-16,
a***n ( 121) ,5,Great Communication & Customer service!!! Thank you!!!,2013-07-16,
o***t ( 660) ,5,"quality great, beautifully boxed, I'm thoroughly pleased",2013-07-14,
o***t ( 660) ,5,"excellent quality, beautifully boxed, thank you!",2013-07-14,
o***t ( 660) ,5,"Item is beautiful, beautiful presentation in boxing, fast delivery, thanks!",2013-07-14,
o***u ( 6 ) ,5,LOVE LOVE LOVE my ring and received it right on time. Ty for being awesome!,2013-07-13,
p***w ( 31) ,5,"EXCELLANT DEALERSHIP, VERY EASY TO DEAL WITH!!!!",2013-07-12,
p***r ( 38) ,5,Best seller EVER!!!! This is the most gorgeous ring I've ever laid my eyes on! ,2013-07-12,
t***b ( 3 ) ,5,Friendly and helpful,2013-07-11,
2***2 ( 308) ,5,Thanks!,2013-07-10,
p***2 ( 238) ,5,Unbelievable this ring is perfect ,2013-07-10,
b***b ( 15) ,5,Very prompt response time. ,2013-07-08,
s**** ( 962) ,5,Absolutely gorgeous! Folks you cannot go wrong Buying here. Quality !!!!!!!!!,2013-07-08,
4***4 ( 41) ,5,great product and fast shipping,2013-07-08,
o***e ( 1 ) ,5,Wonderful service and absolutely beautiful ring!!,2013-07-08,
a***b ( 439) ,5,Best seller on ebay! Great transaction and BEAUTIFUL jewelry! Thanks!,2013-07-08,
m***n ( 223) ,5,Great Ebayer. Thank you.,2013-07-07,
d***h ( 39) ,5,a gorgeous ring! seller is rated A+++++++++++,2013-07-07,
d***e ( 29) ,5,Quick resolution to my situation. Excellant customer service!,2013-07-06,
h***b ( 1223) ,5,new items,2013-07-05,
g***e ( 54) ,5,in love with them,2013-07-04,
a***b ( 130) ,5,"A+ seller , very fast shipping ",2013-07-03,
i***g ( 34) ,5,beautiful ring! excellent service!,2013-07-01,
9***5 ( 31) ,5,Great seller fast shipping! ,2013-07-01,
m***r ( 37) ,5,Great Doing Business With You and the shipment was amazingly fast. Thank You,2013-06-30,
l***s ( 55) ,5,They are awesome! ,2013-06-29,
m***n ( 223) ,5,Awesome seller. Thx.,2013-06-28,
9***9 ( 124) ,5,Thank you,2013-06-27,
e***5 ( 49) ,5,Great transaction,2013-06-27,
e***g ( 59) ,5,"Awesome item, so pleased and it looks gorgeous.",2013-06-27,
a***l ( 41) ,5,Excellent Transaction. Quality product,2013-06-27,
h***e ( 26) ,5,"very understanding , 5 stars",2013-06-27,
4***4 ( 55) ,5,"Beautiful, just as discribed, love it, shipping could have been quicker though",2013-06-26,
m***o ( 299) ,5,She loves it. Thanks again,2013-06-26,
t***t ( 21) ,5,Great Customer Service,2013-06-25,
b***i ( 235) ,5,Stunning & Brilliant! Fabulous communication - ALL quite accurate!,2013-06-25,
