Fast shipping. Ring is beautiful,Buyer: n***e ( 27) ,Oct-22-13 12:18
I love love love my ring. This picture does it no justice. It's even prettier,Buyer: 1***1 ( 8 ) ,Oct-22-13 06:36
Beautiful Ring would buy from again,Buyer: 1***1 ( 15) ,Oct-22-13 05:12
Super!,Buyer: 0***0 ( 132) ,Oct-21-13 21:15
Absolutely amazing product. We have received tons of compliments on the ring.,Buyer: 7***7 ( 160) ,Oct-21-13 11:38
Let me know if my order went thru and remember the ring needs to be sized 6 3/4,Buyer: d***i ( 9 ) ,Oct-21-13 07:50
"Awesome product, quick turn around time!",Buyer: e***i ( 31) ,Oct-19-13 13:44
I'm impressed & pleased. 5 stars across the board. Thanks for selling on ebay.,Buyer: j***e (private) ,Oct-18-13 18:49
A+ thank you!,Buyer: c***d ( 104) ,Oct-17-13 11:31
Great doing business with!!!!!!!!,Buyer: c***p ( 205) ,Oct-17-13 09:16
"GREAT COMMUNICATION... FAST SHIPPING GODD ALL AROUND, NICE RING",Buyer: l***a ( 780) ,Oct-16-13 19:18
"Gorgeous ring! Great customer service, will buy again! Thanks",Buyer: p***i ( 347) ,Oct-16-13 09:41
Seller very serious and responsible my money was refund very fast thanks,Buyer: c***e ( 27) ,Oct-16-13 05:11
ABSOLUTELY GREAT !!!!!!! VERY VERY VERY HAPPY ! Thank you for the extra earings,Buyer: n***n ( 22) ,Oct-08-13 16:36
Gorgeous! So much better than I expected.,Buyer: c***e ( 18) ,Oct-08-13 08:20
"super fast shipping, seller was very on top of things!",Buyer: u***u ( 85) ,Oct-07-13 13:38
very good to do business with,Buyer: n***3 ( 299) ,Oct-06-13 12:16
Fast shipping A+ service will do business with again,Buyer: c***b ( 87) ,Oct-02-13 16:46
Great ebayer. I would do business with again. Thx!,Buyer: s***s ( 24) ,Oct-02-13 15:59
Absolutely love my ring & earrings! Fast & easy transaction! Best Seller!,Buyer: 9***l ( 402) ,Oct-01-13 20:46
Great seller!!,Buyer: e***l ( 91) ,Oct-01-13 19:46
Thank you!!! Super serviceAAAAA++++,Buyer: i***6 ( 312) ,Oct-01-13 10:52
Great,Buyer: m***2 ( 9 ) ,Oct-01-13 09:26
Shipping time was fast and on time as promised. The ring is even more beautiful ,Buyer: t***t ( 20) ,Oct-01-13 07:44
Thank You!,Buyer: w***m ( 392) ,Sep-30-13 11:54
Beautiful ring wonderful business,Buyer: s***r ( 20) ,Sep-29-13 16:28
Received item in good condition in timely manner.,Buyer: r***y ( 35) ,Sep-27-13 17:51
Good customer service and support ,Buyer: o***i ( 3 ) ,Sep-26-13 16:38
LOVE IT!!! And thank you so much for the earrings too - I'm impressed & pleased,Buyer: e***6 ( 82) ,Sep-25-13 09:51
A++++++++++++++++++++++++++++++++,Buyer: e***e ( 189) ,Sep-24-13 18:23
awesome ring fast shipment A+++++++++++++++++,Buyer: e***o ( 274) ,Sep-24-13 02:24
I loved it..she loved it. Great communication ,Buyer: k***i ( 375) ,Sep-23-13 08:02
Prompt Refund given....thanks. Decided to get her real diamond ring,Buyer: w***g ( 1723) ,Sep-22-13 22:59
stunning ring plus free stud earings awesome,Buyer: s***1 ( 238) ,Sep-22-13 21:09
I really recommend this store my ring I got it on time an is soooo bootifull,Buyer: b***a ( 10) ,Sep-22-13 18:24
Absolutely stunning and brilliant ring! 100% satisfied customers!!! A+ Thank you,Buyer: s***b ( 3 ) ,Sep-21-13 20:56
"Great seller!! Loved the gift surprise, definitely buying from them again!!!!!",Buyer: m***s ( 14) ,Sep-18-13 19:14
Beautiful. ,Buyer: a***k ( 44) ,Sep-18-13 09:08
Excellent seller! Fabulous to work with. Beautiful ring. ,Buyer: c***e ( 2184) ,Sep-17-13 23:03
Fast shipping...Beautiful item..,Buyer: h***a ( 27) ,Sep-14-13 19:02
Item as described,Buyer: h***h ( 59) ,Sep-13-13 13:36
"Returned item, however seller Great.",Buyer: n***e ( 561) ,Sep-12-13 02:12
Beautiful ring. The center stone is big! A little too big but BEAUTIFUL. ,Buyer: e***0 ( 8 ) ,Sep-11-13 05:00
ABSOLUTELY LOVE THE RING WE PURCHASED! Agape deserves 10 stars! ,Buyer: e***t ( 373) ,Sep-06-13 10:22
This is a gift hope she likes as much as I do Just what I had expected.,Buyer: s***w ( 65) ,Sep-05-13 05:30
wow it's perfect,Buyer: e***4 ( 97) ,Aug-31-13 17:33
